Word,Translation,Meaning,Example Sentence,Tag,Dialouge,StartTime,EndTime
pilot,خلبان,"{'Noun': ['someone who is licensed to operate an aircraft in flight', 'a person qualified to guide ships through difficult waters going into or out of a harbor', 'a program exemplifying a contemplated series; intended to attract sponsors', 'something that serves as a model or a basis for making copies', 'small auxiliary gas burner that provides a flame to ignite a larger gas burner', 'an inclined metal frame at the front of a locomotive to clear the track'], 'Verb': ['operate an airplane', 'act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance']}",N/A,"season 1 , The One Where It All Began (Pilot)",The One Where It All Began (Pilot),"00:00:01,601","00:00:05,059"
theres,وجود دارد,{'Noun': ['a location other than here; that place']},['you can take it from there'],"season 1 , The One Where It All Began (Pilot)",There's nothing to tell. It's just some guy I work with.,"00:00:55,422","00:00:59,256"
tell,بگو,"{'Noun': [""a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap""], 'Verb': ['express in words', 'let something be known', 'narrate or give a detailed account of', 'give instructions to or direct somebody to do something with authority', 'discern or comprehend', 'inform positively and with certainty and confidence', 'give evidence', 'mark as different']}","['He said that he wanted to marry her', 'tell me what is bothering you', 'state your opinion', 'state your name']","season 1 , The One Where It All Began (Pilot)",There's nothing to tell. It's just some guy I work with.,"00:00:55,422","00:00:59,256"
guy,پسر,"{'Noun': ['an informal term for a youth or man', 'an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day', 'a cable, wire, or rope that is used to brace something (especially a tent'], 'Verb': ['subject to laughter or ridicule', 'steady or support with a guy wire or cable']}","['a nice guy', ""the guy's only doing it for some doll""]","season 1 , The One Where It All Began (Pilot)",There's nothing to tell. It's just some guy I work with.,"00:00:55,422","00:00:59,256"
work,کار کردن,"{'Noun': ['activity directed toward making or doing something', 'a product produced or accomplished through the effort or activity or agency of a person or thing', 'the occupation for which you are paid', 'applying the mind to learning and understanding a subject (especially by reading', '(physics', 'a place where work is done', 'the total output of a writer or artist (or a substantial part of it'], 'Verb': ['exert oneself by doing mental or physical work for a purpose or out of necessity', 'be employed', 'have an effect or outcome; often the one desired or expected', 'perform as expected when applied', 'shape, form, or improve a material', 'give a workout to', 'proceed along a path', 'operate in a certain place, area, or specialty', 'proceed towards a goal or along a path or through an activity', 'move in an agitated manner', 'cause to happen or to occur as a consequence', 'cause to work', 'prepare for crops', 'behave in a certain way when handled', 'have and exert influence or effect', 'operate in or through', 'cause to operate or function', 'provoke or excite', 'gratify and charm, usually in order to influence', 'make something, usually for a specific function', 'move into or onto', 'make uniform', ""use or manipulate to one's advantage"", 'find the solution to (a problem or question', 'cause to undergo fermentation', 'go sour or spoil', 'arrive at a certain condition through repeated motion']}",['she checked several points needing further work'],"season 1 , The One Where It All Began (Pilot)",There's nothing to tell. It's just some guy I work with.,"00:00:55,422","00:00:59,256"
youre,شما هستید,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",You're going out with the guy.,"00:00:59,459","00:01:01,586"
guy,پسر,"{'Noun': ['an informal term for a youth or man', 'an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day', 'a cable, wire, or rope that is used to brace something (especially a tent'], 'Verb': ['subject to laughter or ridicule', 'steady or support with a guy wire or cable']}","['a nice guy', ""the guy's only doing it for some doll""]","season 1 , The One Where It All Began (Pilot)",You're going out with the guy.,"00:00:59,459","00:01:01,586"
wrong,اشتباه,"{'Noun': ['that which is contrary to the principles of justice or law', 'any harm or injury resulting from a violation of a legal right'], 'Verb': ['treat unjustly; do wrong to'], 'Adjective': ['not correct; not in conformity with fact or truth', 'contrary to conscience or morality or law', 'not appropriate for a purpose or occasion', 'not functioning properly', 'based on or acting or judging in error', 'not in accord with established usage or procedure', 'used of the side of cloth or clothing intended to face inward', 'badly timed', 'characterized by errors; not agreeing with a model or not following established rules'], 'Adverb': ['in an inaccurate manner']}",['he feels that you are in the wrong'],"season 1 , The One Where It All Began (Pilot)",There has to be something wrong with him.,"00:01:01,795","00:01:04,389"
nice,خوب,"{'Noun': ['a city in southeastern France on the Mediterranean; the leading resort on the French Riviera'], 'Adjective': ['pleasant or pleasing or agreeable in nature or appearance', 'socially or conventionally correct; refined or virtuous', 'done with delicacy and skill', 'excessively fastidious and easily disgusted', 'exhibiting courtesy and politeness']}","['what a nice fellow you are and we all thought you so nasty', 'nice manners', 'a nice dress', 'a nice face', 'a nice day', 'had a nice time at the party', 'the corn and tomatoes are nice today']","season 1 , The One Where It All Began (Pilot)","All right, Joey. Be nice.","00:01:04,597","00:01:06,656"
hump,قوز,"{'Noun': ['something that bulges out or is protuberant or projects from its surroundings'], 'Verb': [""round one's back by bending forward and drawing the shoulders forward"", 'have sexual intercourse with']}","['the gun in his pocket made an obvious bulge', 'the hump of a camel', 'he stood on the rocky prominence', 'the occipital protuberance was well developed', 'the bony excrescence between its horns']","season 1 , The One Where It All Began (Pilot)",So does he have a hump and a hairpiece?,"00:01:06,833","00:01:09,358"
